date,price_usd_per_ton
2015-09-28,14.532445907592773
2015-09-29,14.621434211730957
2015-09-30,14.792566299438477
2015-10-01,14.867859840393066
2015-10-02,15.436015129089355
2015-10-05,16.134231567382812
2015-10-06,16.45595932006836
2015-10-07,17.08572006225586
2015-10-08,17.537504196166992
2015-10-09,17.975601196289062
2015-10-12,17.51012420654297
2015-10-13,17.133636474609375
2015-10-14,17.366374969482422
2015-10-15,17.68125343322754
2015-10-16,17.482742309570312
2015-10-19,16.852981567382812
2015-10-20,16.47649383544922
2015-10-21,16.284828186035156
2015-10-22,16.79137420654297
2015-10-23,16.907745361328125
2015-10-26,16.497026443481445
2015-10-27,16.20268440246582
2015-10-28,16.291671752929688
2015-10-29,16.11369514465332
2015-10-30,16.3395938873291
2015-11-02,16.770841598510742
2015-11-03,17.058338165283203
